comment_id,true_themes,true_tone
C00001,Leadership & communication,negative
C00002,Inclusion & voice,positive
C00003,Leadership & communication,negative
C00004,Inclusion & voice,positive
C00005,Workload & staffing,negative
C00006,Inclusion & voice,positive
C00007,Manager relationship,negative
C00008,Pay & benefits; Joining & onboarding,negative
C00009,Leadership & communication; Pay & benefits,positive
C00010,Career & progression,negative
C00011,Inclusion & voice,positive
C00012,Career & progression,negative
C00013,Tools & process,positive
C00014,Pay & benefits,negative
C00015,Inclusion & voice,negative
C00016,Pay & benefits,negative
C00017,Recognition,positive
C00018,Workload & staffing,negative
C00019,Joining & onboarding,negative
C00020,Manager relationship; Joining & onboarding,positive
C00021,Career & progression,negative
C00022,Inclusion & voice,positive
C00023,Tools & process; Inclusion & voice,negative
C00024,Recognition,positive
C00025,Leadership & communication,negative
C00026,Inclusion & voice,positive
C00027,Manager relationship,positive
C00028,Flexibility & workplace,negative
C00029,Recognition,positive
C00030,Flexibility & workplace; Inclusion & voice,negative
C00031,Manager relationship,positive
C00032,Joining & onboarding,negative
C00033,Inclusion & voice,positive
C00034,Joining & onboarding,negative
C00035,Inclusion & voice,negative
C00036,Manager relationship; Career & progression,positive
C00037,Career & progression,negative
C00038,Inclusion & voice,positive
C00039,Joining & onboarding; Tools & process,positive
C00040,Career & progression,negative
C00041,Manager relationship; Workload & staffing,negative
C00042,Tools & process; Flexibility & workplace,negative
C00043,Inclusion & voice,positive
C00044,Manager relationship,negative
C00045,Career & progression; Leadership & communication,negative
C00046,Manager relationship,positive
C00047,Joining & onboarding,negative
C00048,Leadership & communication,positive
C00049,Joining & onboarding,negative
C00050,Pay & benefits,positive
C00051,Joining & onboarding,negative
C00052,Flexibility & workplace,negative
C00053,Career & progression,negative
C00054,Pay & benefits,negative
C00055,Joining & onboarding; Inclusion & voice,negative
C00056,Tools & process,negative
C00057,Manager relationship,positive
C00058,Flexibility & workplace,negative
C00059,Manager relationship; Tools & process,positive
C00060,Inclusion & voice,negative
C00061,Workload & staffing,negative
C00062,Manager relationship,positive
C00063,Manager relationship,positive
C00064,Manager relationship,positive
C00065,Flexibility & workplace,negative
C00066,Inclusion & voice,positive
C00067,Workload & staffing,negative
C00068,Inclusion & voice,positive
C00069,Career & progression,negative
C00070,Pay & benefits,negative
C00071,Manager relationship,positive
C00072,Tools & process,negative
C00073,Flexibility & workplace,negative
C00074,Pay & benefits,negative
C00075,Recognition; Career & progression,negative
C00076,Leadership & communication,positive
C00077,Career & progression,negative
C00078,Flexibility & workplace; Career & progression,negative
C00079,Career & progression,negative
C00080,Workload & staffing,positive
C00081,Career & progression,negative
C00082,Recognition,negative
C00083,Inclusion & voice; Pay & benefits,positive
C00084,Workload & staffing,negative
C00085,Manager relationship,positive
C00086,Pay & benefits,negative
C00087,Inclusion & voice,positive
C00088,Workload & staffing,negative
C00089,Tools & process,positive
C00090,Pay & benefits,negative
C00091,Leadership & communication,positive
C00092,Recognition; Workload & staffing,negative
C00093,Recognition; Workload & staffing,negative
C00094,Manager relationship,positive
C00095,Career & progression,negative
C00096,Pay & benefits,negative
C00097,Workload & staffing,negative
C00098,Flexibility & workplace,negative
C00099,Joining & onboarding; Recognition,positive
C00100,Manager relationship,negative
C00101,Pay & benefits,negative
C00102,Leadership & communication,positive
C00103,Manager relationship,positive
C00104,Flexibility & workplace,negative
C00105,Inclusion & voice,positive
C00106,Workload & staffing,negative
C00107,Flexibility & workplace,negative
C00108,Manager relationship,positive
C00109,Joining & onboarding,negative
C00110,Manager relationship,positive
C00111,Recognition,negative
C00112,Flexibility & workplace; Inclusion & voice,negative
C00113,Manager relationship,positive
C00114,Pay & benefits; Manager relationship,negative
C00115,Career & progression; Recognition,positive
C00116,Manager relationship,positive
C00117,Tools & process,negative
C00118,Leadership & communication,positive
C00119,Inclusion & voice,negative
C00120,Tools & process; Recognition,negative
C00121,Leadership & communication,positive
C00122,Manager relationship,positive
C00123,Tools & process,negative
C00124,Manager relationship,positive
C00125,Flexibility & workplace,negative
C00126,Manager relationship,positive
C00127,Workload & staffing; Tools & process,negative
C00128,Manager relationship; Career & progression,positive
C00129,Joining & onboarding,negative
C00130,Manager relationship,positive
C00131,Joining & onboarding,negative
C00132,Pay & benefits,negative
C00133,Leadership & communication,positive
C00134,Joining & onboarding,positive
C00135,Inclusion & voice,positive
C00136,Career & progression,negative
C00137,Inclusion & voice,positive
C00138,Recognition,positive
C00139,Flexibility & workplace,negative
C00140,Recognition,negative
C00141,Manager relationship,positive
C00142,Career & progression; Tools & process,negative
C00143,Inclusion & voice,positive
C00144,Recognition,negative
C00145,Recognition,negative
C00146,Leadership & communication,positive
C00147,Career & progression; Pay & benefits,negative
C00148,Flexibility & workplace; Manager relationship,negative
C00149,Career & progression,negative
C00150,Manager relationship,positive
C00151,Manager relationship,negative
C00152,Career & progression,negative
C00153,Manager relationship,negative
C00154,Career & progression; Leadership & communication,negative
C00155,Leadership & communication,positive
C00156,Inclusion & voice,positive
C00157,Flexibility & workplace; Inclusion & voice,negative
C00158,Inclusion & voice; Joining & onboarding,positive
C00159,Career & progression,negative
C00160,Leadership & communication,positive
C00161,Joining & onboarding,negative
C00162,Inclusion & voice,positive
C00163,Joining & onboarding,negative
C00164,Manager relationship; Joining & onboarding,positive
C00165,Workload & staffing,negative
C00166,Workload & staffing,negative
C00167,Inclusion & voice,positive
C00168,Tools & process,negative
C00169,Recognition; Inclusion & voice,positive
C00170,Recognition,negative
C00171,Career & progression,negative
C00172,Leadership & communication,negative
C00173,Inclusion & voice,positive
C00174,Flexibility & workplace,negative
C00175,Manager relationship,positive
C00176,Workload & staffing,negative
C00177,Joining & onboarding; Recognition,negative
C00178,Workload & staffing,negative
C00179,Inclusion & voice,positive
C00180,Leadership & communication,negative
C00181,Joining & onboarding; Recognition,negative
C00182,Inclusion & voice,positive
C00183,Tools & process,negative
C00184,Leadership & communication,positive
C00185,Tools & process,negative
C00186,Tools & process,negative
C00187,Joining & onboarding,negative
C00188,Recognition,negative
C00189,Leadership & communication,positive
C00190,Pay & benefits; Career & progression,negative
C00191,Inclusion & voice,positive
C00192,Manager relationship,positive
C00193,Joining & onboarding; Recognition,negative
C00194,Joining & onboarding; Career & progression,negative
C00195,Flexibility & workplace,positive
C00196,Leadership & communication,negative
C00197,Manager relationship,positive
C00198,Workload & staffing; Pay & benefits,negative
C00199,Inclusion & voice,positive
C00200,Flexibility & workplace; Career & progression,negative
C00201,Pay & benefits; Workload & staffing,positive
C00202,Career & progression; Manager relationship,negative
C00203,Recognition,positive
C00204,Tools & process; Flexibility & workplace,negative
C00205,Manager relationship,positive
C00206,Tools & process,negative
C00207,Workload & staffing,negative
C00208,Workload & staffing,negative
C00209,Pay & benefits,negative
C00210,Workload & staffing,negative
C00211,Leadership & communication,positive
C00212,Workload & staffing,negative
C00213,Manager relationship; Recognition,positive
C00214,Career & progression,negative
C00215,Joining & onboarding,negative
C00216,Workload & staffing,positive
C00217,Tools & process,negative
C00218,Leadership & communication; Pay & benefits,positive
C00219,Tools & process,positive
C00220,Recognition,positive
C00221,Pay & benefits; Workload & staffing,negative
C00222,Workload & staffing; Flexibility & workplace,negative
C00223,Pay & benefits,negative
C00224,Inclusion & voice,positive
C00225,Workload & staffing,negative
C00226,Tools & process,negative
C00227,Manager relationship,positive
C00228,Pay & benefits,negative
C00229,Manager relationship,positive
C00230,Career & progression,negative
C00231,Tools & process,negative
C00232,Leadership & communication,negative
C00233,Manager relationship,negative
C00234,Recognition,positive
C00235,Career & progression; Tools & process,negative
C00236,Flexibility & workplace; Career & progression,positive
C00237,Flexibility & workplace; Recognition,negative
C00238,Career & progression,negative
C00239,Leadership & communication,positive
C00240,Pay & benefits,negative
C00241,Career & progression,negative
C00242,Flexibility & workplace,positive
C00243,Inclusion & voice,positive
C00244,Career & progression,positive
C00245,Recognition,positive
C00246,Career & progression,negative
C00247,Joining & onboarding,negative
C00248,Manager relationship,positive
C00249,Pay & benefits,negative
C00250,Workload & staffing,negative
C00251,Pay & benefits,negative
C00252,Leadership & communication,positive
C00253,Recognition,negative
C00254,Leadership & communication,positive
C00255,Manager relationship; Pay & benefits,negative
C00256,Pay & benefits,negative
C00257,Inclusion & voice,positive
C00258,Flexibility & workplace,negative
C00259,Leadership & communication,negative
C00260,Pay & benefits,positive
C00261,Tools & process,negative
C00262,Leadership & communication,negative
C00263,Flexibility & workplace; Joining & onboarding,positive
C00264,Flexibility & workplace,negative
C00265,Tools & process,negative
C00266,Pay & benefits; Workload & staffing,negative
C00267,Leadership & communication,positive
C00268,Flexibility & workplace; Tools & process,negative
C00269,Inclusion & voice,positive
C00270,Workload & staffing,negative
C00271,Career & progression,negative
C00272,Joining & onboarding,negative
C00273,Flexibility & workplace,negative
C00274,Tools & process,negative
C00275,Inclusion & voice,positive
C00276,Workload & staffing; Career & progression,negative
C00277,Recognition,negative
C00278,Leadership & communication,positive
C00279,Career & progression; Flexibility & workplace,negative
C00280,Manager relationship,negative
C00281,Workload & staffing; Leadership & communication,positive
C00282,Career & progression,negative
C00283,Joining & onboarding,positive
C00284,Workload & staffing; Pay & benefits,negative
C00285,Leadership & communication,positive
C00286,Career & progression,negative
C00287,Pay & benefits; Inclusion & voice,positive
C00288,Flexibility & workplace,negative
C00289,Pay & benefits,positive
C00290,Manager relationship; Tools & process,negative
C00291,Career & progression,negative
C00292,Inclusion & voice,positive
C00293,Pay & benefits; Flexibility & workplace,negative
C00294,Pay & benefits,negative
C00295,Manager relationship,positive
C00296,Recognition,positive
C00297,Leadership & communication,negative
C00298,Inclusion & voice,positive
C00299,Flexibility & workplace,negative
C00300,Manager relationship,positive
C00301,Pay & benefits,negative
C00302,Inclusion & voice,positive
C00303,Tools & process,negative
C00304,Inclusion & voice; Workload & staffing,positive
C00305,Workload & staffing,negative
C00306,Workload & staffing,negative
C00307,Flexibility & workplace,negative
C00308,Manager relationship,positive
C00309,Joining & onboarding,negative
C00310,Manager relationship,positive
C00311,Career & progression,negative
C00312,Flexibility & workplace,positive
C00313,Career & progression,negative
C00314,Flexibility & workplace; Tools & process,negative
C00315,Workload & staffing,negative
C00316,Pay & benefits; Joining & onboarding,negative
C00317,Inclusion & voice,positive
C00318,Pay & benefits; Recognition,negative
C00319,Inclusion & voice,positive
C00320,Leadership & communication,negative
C00321,Workload & staffing,negative
C00322,Pay & benefits,negative
C00323,Inclusion & voice,positive
C00324,Joining & onboarding,negative
C00325,Inclusion & voice; Recognition,positive
C00326,Manager relationship,positive
C00327,Flexibility & workplace,negative
C00328,Manager relationship,positive
C00329,Tools & process,negative
C00330,Career & progression,positive
C00331,Pay & benefits,negative
C00332,Pay & benefits,negative
C00333,Recognition,negative
C00334,Career & progression,negative
C00335,Career & progression,negative
C00336,Joining & onboarding,negative
C00337,Flexibility & workplace,negative
C00338,Joining & onboarding,positive
C00339,Career & progression,negative
C00340,Recognition,positive
C00341,Recognition,negative
C00342,Career & progression,negative
C00343,Pay & benefits,positive
C00344,Tools & process,negative
C00345,Pay & benefits,positive
C00346,Career & progression,negative
C00347,Manager relationship,positive
C00348,Leadership & communication,positive
C00349,Flexibility & workplace,negative
C00350,Pay & benefits,positive
C00351,Recognition; Inclusion & voice,negative
C00352,Inclusion & voice,positive
C00353,Pay & benefits,negative
C00354,Leadership & communication,negative
C00355,Tools & process,positive
C00356,Flexibility & workplace,negative
C00357,Career & progression,negative
C00358,Tools & process,negative
C00359,Flexibility & workplace,positive
C00360,Career & progression,negative
C00361,Joining & onboarding,positive
C00362,Manager relationship,positive
C00363,Career & progression,negative
C00364,Pay & benefits; Joining & onboarding,positive
C00365,Flexibility & workplace,negative
C00366,Leadership & communication; Pay & benefits,positive
C00367,Manager relationship,positive
C00368,Recognition,negative
C00369,Joining & onboarding,positive
C00370,Pay & benefits,negative
C00371,Career & progression,positive
C00372,Pay & benefits,positive
C00373,Career & progression,negative
C00374,Workload & staffing; Leadership & communication,negative
C00375,Inclusion & voice,positive
C00376,Recognition; Career & progression,negative
C00377,Inclusion & voice,positive
C00378,Recognition,negative
C00379,Tools & process,positive
C00380,Manager relationship,negative
C00381,Inclusion & voice; Manager relationship,positive
C00382,Recognition,negative
C00383,Pay & benefits; Workload & staffing,negative
C00384,Manager relationship; Recognition,negative
C00385,Career & progression,negative
C00386,Workload & staffing,positive
C00387,Recognition,negative
C00388,Recognition; Career & progression,negative
C00389,Tools & process; Pay & benefits,negative
C00390,Flexibility & workplace,positive
C00391,Manager relationship,negative
C00392,Workload & staffing,positive
C00393,Manager relationship,negative
C00394,Pay & benefits,negative
C00395,Workload & staffing; Flexibility & workplace,positive
C00396,Career & progression,negative
C00397,Flexibility & workplace,positive
C00398,Pay & benefits,negative
C00399,Tools & process,positive
C00400,Tools & process,negative
C00401,Inclusion & voice,positive
C00402,Workload & staffing; Inclusion & voice,negative
C00403,Manager relationship,positive
C00404,Leadership & communication,negative
C00405,Career & progression,negative
C00406,Workload & staffing,positive
C00407,Recognition; Joining & onboarding,negative
C00408,Leadership & communication; Flexibility & workplace,positive
C00409,Pay & benefits,negative
C00410,Pay & benefits,negative
C00411,Recognition,negative
C00412,Manager relationship,positive
C00413,Recognition; Pay & benefits,negative
C00414,Leadership & communication,positive
C00415,Pay & benefits,negative
C00416,Flexibility & workplace,negative
C00417,Recognition; Pay & benefits,negative
C00418,Manager relationship,positive
C00419,Career & progression,negative
C00420,Leadership & communication,positive
C00421,Career & progression; Manager relationship,negative
C00422,Career & progression,negative
C00423,Career & progression,negative
C00424,Inclusion & voice,positive
C00425,Career & progression,negative
C00426,Inclusion & voice,positive
C00427,Flexibility & workplace,negative
C00428,Recognition; Inclusion & voice,positive
C00429,Flexibility & workplace; Tools & process,negative
C00430,Inclusion & voice,positive
C00431,Workload & staffing,negative
C00432,Career & progression,positive
C00433,Career & progression; Tools & process,positive
C00434,Workload & staffing,negative
