comment_id,response_id,question,comment_text
C00001,R00007,what_to_change,"Honestly, we hear about decisions that affect us from other teams first."
C00002,R00007,what_works,One thing that works: i can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00003,R00019,what_to_change,The main issue is that leadership talks about transparency and then reorganises without warning.
C00004,R00020,what_works,My team is genuinely welcoming and people look out for each other. Please keep it.
C00005,R00040,what_to_change,Every week is firefighting; there is no capacity left for anything planned. This needs fixing this year.
C00006,R00040,what_works,I can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00007,R00044,what_to_change,"Honestly, my manager cancels our one to ones more often than we hold them. It should not be this hard."
C00008,R00046,what_to_change,New joiners are hired above people already doing the job. The rest of my experience here is positive. My first month was three days of induction and then nothing.
C00009,R00046,what_works,"Genuinely, the last town hall actually answered the hard questions honestly. Please keep it. The pension contribution and the extra leave days are genuinely good."
C00010,R00052,what_to_change,Training budget exists on paper but every request gets postponed.
C00011,R00052,what_works,My team is genuinely welcoming and people look out for each other. That should be the standard everywhere.
C00012,R00060,what_to_change,There is no visible route from my role to the next one. It is the one thing I would change.
C00013,R00060,what_works,The new scheduling tool has saved us hours every week. Please keep it.
C00014,R00065,what_to_change,My salary has not kept up with inflation for two years running. Nothing has changed since the last survey.
C00015,R00066,what_to_change,Everything important is decided in English at a speed that excludes half the room. It should not be this hard.
C00016,R00077,what_to_change,"Honestly, new joiners are hired above people already doing the job. This needs fixing this year."
C00017,R00077,what_works,"Genuinely, my manager makes a point of recognising good work publicly. That should be the standard everywhere."
C00018,R00080,what_to_change,To be direct: we are permanently short-staffed and the overtime has stopped feeling optional. It should not be this hard.
C00019,R00083,what_to_change,"To be direct: i did not have a laptop for my first week, which set the tone."
C00020,R00088,what_works,"Genuinely, my manager is genuinely supportive and gives me feedback I can use. That should be the standard everywhere. My onboarding buddy made the first weeks much easier."
C00021,R00090,what_to_change,We hire externally for roles that people inside could grow into.
C00022,R00090,what_works,One thing that works: my team is genuinely welcoming and people look out for each other.
C00023,R00092,what_to_change,"Honestly, getting access to a tool takes weeks and nobody owns the process. I am already looking at other options. Everything important is decided in English at a speed that excludes half the room."
C00024,R00095,what_works,"Genuinely, the team shout-outs in our monthly meeting are a small thing that works."
C00025,R00098,what_to_change,"Honestly, leadership talks about transparency and then reorganises without warning. The rest of my experience here is positive."
C00026,R00098,what_works,My team is genuinely welcoming and people look out for each other.
C00027,R00104,what_works,"I always know where I stand with my manager, which I value. That should be the standard everywhere."
C00028,R00108,what_to_change,The office rules changed twice this year with no explanation. It is the one thing I would change.
C00029,R00108,what_works,My manager makes a point of recognising good work publicly.
C00030,R00116,what_to_change,The office rules changed twice this year with no explanation. The same voices dominate every meeting and the rest of us stop trying.
C00031,R00116,what_works,My team lead backs us up when things go wrong and that builds trust.
C00032,R00119,what_to_change,"I did not have a laptop for my first week, which set the tone. The rest of my experience here is positive."
C00033,R00119,what_works,My team is genuinely welcoming and people look out for each other.
C00034,R00122,what_to_change,My first month was three days of induction and then nothing. It should not be this hard.
C00035,R00126,what_to_change,"Honestly, everything important is decided in English at a speed that excludes half the room. It is the one thing I would change."
C00036,R00126,what_works,My manager is genuinely supportive and gives me feedback I can use. That should be the standard everywhere. The internal move I made last year was handled really well.
C00037,R00128,what_to_change,"Promotions here go to people who are visible to leadership, not to people who deliver."
C00038,R00128,what_works,I can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00039,R00129,what_works,One thing that works: my onboarding buddy made the first weeks much easier. The new scheduling tool has saved us hours every week.
C00040,R00148,what_to_change,The main issue is that there is no visible route from my role to the next one. Otherwise this is a good place to work.
C00041,R00154,what_to_change,To be direct: my manager cancels our one to ones more often than we hold them. I answer messages at 10pm because there is no other way to keep up.
C00042,R00156,what_to_change,The approval process takes longer than the work itself. Otherwise this is a good place to work. The office rules changed twice this year with no explanation.
C00043,R00156,what_works,I can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00044,R00170,what_to_change,Feedback only arrives when something goes wrong.
C00045,R00172,what_to_change,"Honestly, promotions here go to people who are visible to leadership, not to people who deliver. The rest of my experience here is positive. Strategy changes every quarter and nobody explains why."
C00046,R00172,what_works,My manager is genuinely supportive and gives me feedback I can use.
C00047,R00175,what_to_change,"I did not have a laptop for my first week, which set the tone."
C00048,R00175,what_works,The last town hall actually answered the hard questions honestly.
C00049,R00179,what_to_change,My first month was three days of induction and then nothing. The rest of my experience here is positive.
C00050,R00179,what_works,The pension contribution and the extra leave days are genuinely good.
C00051,R00181,what_to_change,My first month was three days of induction and then nothing. Frankly it is exhausting.
C00052,R00185,what_to_change,The main issue is that shift patterns get published too late to plan anything around them. This needs fixing this year.
C00053,R00189,what_to_change,We hire externally for roles that people inside could grow into.
C00054,R00196,what_to_change,New joiners are hired above people already doing the job. It is the one thing I would change.
C00055,R00204,what_to_change,My first month was three days of induction and then nothing. The same voices dominate every meeting and the rest of us stop trying.
C00056,R00206,what_to_change,The approval process takes longer than the work itself. Otherwise this is a good place to work.
C00057,R00206,what_works,"Genuinely, i always know where I stand with my manager, which I value. That should be the standard everywhere."
C00058,R00208,what_to_change,Shift patterns get published too late to plan anything around them. The rest of my experience here is positive.
C00059,R00208,what_works,My team lead backs us up when things go wrong and that builds trust. That should be the standard everywhere. The new scheduling tool has saved us hours every week.
C00060,R00210,what_to_change,To be direct: everything important is decided in English at a speed that excludes half the room. This needs fixing this year.
C00061,R00217,what_to_change,Every week is firefighting; there is no capacity left for anything planned. It should not be this hard.
C00062,R00217,what_works,My manager is genuinely supportive and gives me feedback I can use. That should be the standard everywhere.
C00063,R00222,what_works,"I always know where I stand with my manager, which I value. That should be the standard everywhere."
C00064,R00229,what_works,"One thing that works: i always know where I stand with my manager, which I value."
C00065,R00237,what_to_change,The main issue is that i commute an hour to sit on video calls I could take from home. It should not be this hard.
C00066,R00237,what_works,One thing that works: my team is genuinely welcoming and people look out for each other. That should be the standard everywhere.
C00067,R00238,what_to_change,Holiday requests get refused because we do not have the cover.
C00068,R00238,what_works,I can raise a concern here without worrying about how it will be taken.
C00069,R00248,what_to_change,To be direct: i have been in the same grade for four years with no conversation about what comes next. I am already looking at other options.
C00070,R00254,what_to_change,To be direct: new joiners are hired above people already doing the job. This needs fixing this year.
C00071,R00254,what_works,One thing that works: my team lead backs us up when things go wrong and that builds trust. Please keep it.
C00072,R00269,what_to_change,The approval process takes longer than the work itself.
C00073,R00283,what_to_change,"Honestly, shift patterns get published too late to plan anything around them. The rest of my experience here is positive."
C00074,R00284,what_to_change,"The pay bands are a secret, which makes it impossible to trust the process. It is the main reason people are looking elsewhere."
C00075,R00285,what_to_change,The main issue is that good work is expected and never mentioned; mistakes are mentioned immediately. This needs fixing this year. Training budget exists on paper but every request gets postponed.
C00076,R00285,what_works,The last town hall actually answered the hard questions honestly.
C00077,R00287,what_to_change,"Promotions here go to people who are visible to leadership, not to people who deliver. This needs fixing this year."
C00078,R00291,what_to_change,"Honestly, the office rules changed twice this year with no explanation. Frankly it is exhausting. I have been in the same grade for four years with no conversation about what comes next."
C00079,R00296,what_to_change,Training budget exists on paper but every request gets postponed. Otherwise this is a good place to work.
C00080,R00296,what_works,"Genuinely, my team lead protects our workload and it makes a real difference. That should be the standard everywhere."
C00081,R00312,what_to_change,To be direct: there is no visible route from my role to the next one. Frankly it is exhausting.
C00082,R00316,what_to_change,The main issue is that good work is expected and never mentioned; mistakes are mentioned immediately. It should not be this hard.
C00083,R00316,what_works,One thing that works: my team is genuinely welcoming and people look out for each other. The pension contribution and the extra leave days are genuinely good.
C00084,R00320,what_to_change,Holiday requests get refused because we do not have the cover.
C00085,R00320,what_works,"Genuinely, my team lead backs us up when things go wrong and that builds trust. Please keep it."
C00086,R00321,what_to_change,New joiners are hired above people already doing the job.
C00087,R00321,what_works,I can raise a concern here without worrying about how it will be taken.
C00088,R00327,what_to_change,"Two people left my team last year and neither was replaced, so the work just moved to us. I am already looking at other options."
C00089,R00330,what_works,The new scheduling tool has saved us hours every week.
C00090,R00331,what_to_change,"The pay bands are a secret, which makes it impossible to trust the process. It is the one thing I would change."
C00091,R00331,what_works,"Genuinely, the direction for the year is clear and I can see how my work fits."
C00092,R00335,what_to_change,To be direct: the team delivered a difficult project and nobody outside noticed. This needs fixing this year. Every week is firefighting; there is no capacity left for anything planned.
C00093,R00356,what_to_change,"Honestly, the team delivered a difficult project and nobody outside noticed. This needs fixing this year. Holiday requests get refused because we do not have the cover."
C00094,R00356,what_works,One thing that works: my team lead backs us up when things go wrong and that builds trust. Please keep it.
C00095,R00357,what_to_change,"To be direct: promotions here go to people who are visible to leadership, not to people who deliver. The rest of my experience here is positive."
C00096,R00362,what_to_change,New joiners are hired above people already doing the job.
C00097,R00372,what_to_change,The main issue is that we are permanently short-staffed and the overtime has stopped feeling optional.
C00098,R00377,what_to_change,To be direct: i commute an hour to sit on video calls I could take from home. Frankly it is exhausting.
C00099,R00377,what_works,"Genuinely, my onboarding buddy made the first weeks much easier. My manager makes a point of recognising good work publicly."
C00100,R00383,what_to_change,To be direct: my manager cancels our one to ones more often than we hold them. I am already looking at other options.
C00101,R00385,what_to_change,"The pay bands are a secret, which makes it impossible to trust the process. I am already looking at other options."
C00102,R00385,what_works,"Genuinely, the last town hall actually answered the hard questions honestly. Please keep it."
C00103,R00389,what_works,"Genuinely, my manager is genuinely supportive and gives me feedback I can use. That should be the standard everywhere."
C00104,R00391,what_to_change,To be direct: i commute an hour to sit on video calls I could take from home. This needs fixing this year.
C00105,R00391,what_works,I can raise a concern here without worrying about how it will be taken.
C00106,R00395,what_to_change,"Honestly, i answer messages at 10pm because there is no other way to keep up. This needs fixing this year."
C00107,R00402,what_to_change,The office rules changed twice this year with no explanation. It is the one thing I would change.
C00108,R00402,what_works,"Genuinely, my manager is genuinely supportive and gives me feedback I can use."
C00109,R00406,what_to_change,My first month was three days of induction and then nothing. This needs fixing this year.
C00110,R00406,what_works,My team lead backs us up when things go wrong and that builds trust. Please keep it.
C00111,R00411,what_to_change,To be direct: good work is expected and never mentioned; mistakes are mentioned immediately. The rest of my experience here is positive.
C00112,R00412,what_to_change,The office rules changed twice this year with no explanation. The rest of my experience here is positive. Everything important is decided in English at a speed that excludes half the room.
C00113,R00412,what_works,My manager is genuinely supportive and gives me feedback I can use.
C00114,R00413,what_to_change,"Honestly, new joiners are hired above people already doing the job. Otherwise this is a good place to work. My manager avoids difficult conversations, so problems in the team just continue."
C00115,R00413,what_works,"Genuinely, my development plan is real and we actually review it. Please keep it. My manager makes a point of recognising good work publicly."
C00116,R00415,what_works,My team lead backs us up when things go wrong and that builds trust. Please keep it.
C00117,R00434,what_to_change,The approval process takes longer than the work itself. It is the one thing I would change.
C00118,R00434,what_works,One thing that works: the last town hall actually answered the hard questions honestly. That should be the standard everywhere.
C00119,R00435,what_to_change,The main issue is that the same voices dominate every meeting and the rest of us stop trying.
C00120,R00436,what_to_change,The main issue is that the approval process takes longer than the work itself. Otherwise this is a good place to work. Recognition stops at my manager and never travels further up.
C00121,R00444,what_works,"Genuinely, the direction for the year is clear and I can see how my work fits."
C00122,R00453,what_works,"Genuinely, my team lead backs us up when things go wrong and that builds trust."
C00123,R00458,what_to_change,The main issue is that getting access to a tool takes weeks and nobody owns the process. The rest of my experience here is positive.
C00124,R00458,what_works,My manager is genuinely supportive and gives me feedback I can use.
C00125,R00467,what_to_change,I commute an hour to sit on video calls I could take from home. This needs fixing this year.
C00126,R00467,what_works,My manager is genuinely supportive and gives me feedback I can use.
C00127,R00479,what_to_change,"Two people left my team last year and neither was replaced, so the work just moved to us. Our systems do not talk to each other so we rekey the same data twice."
C00128,R00479,what_works,My team lead backs us up when things go wrong and that builds trust. That should be the standard everywhere. My development plan is real and we actually review it.
C00129,R00482,what_to_change,"I did not have a laptop for my first week, which set the tone."
C00130,R00482,what_works,My manager is genuinely supportive and gives me feedback I can use. That should be the standard everywhere.
C00131,R00486,what_to_change,"To be direct: i did not have a laptop for my first week, which set the tone. This needs fixing this year."
C00132,R00488,what_to_change,"Honestly, my salary has not kept up with inflation for two years running. This needs fixing this year."
C00133,R00492,what_works,The direction for the year is clear and I can see how my work fits. That should be the standard everywhere.
C00134,R00495,what_works,One thing that works: my onboarding buddy made the first weeks much easier.
C00135,R00503,what_works,"Genuinely, i can raise a concern here without worrying about how it will be taken."
C00136,R00512,what_to_change,The main issue is that training budget exists on paper but every request gets postponed.
C00137,R00512,what_works,My team is genuinely welcoming and people look out for each other.
C00138,R00513,what_works,The team shout-outs in our monthly meeting are a small thing that works.
C00139,R00515,what_to_change,Shift patterns get published too late to plan anything around them.
C00140,R00518,what_to_change,"Honestly, recognition stops at my manager and never travels further up. Otherwise this is a good place to work."
C00141,R00518,what_works,"Genuinely, my team lead backs us up when things go wrong and that builds trust. Please keep it."
C00142,R00526,what_to_change,Training budget exists on paper but every request gets postponed. Frankly it is exhausting. Getting access to a tool takes weeks and nobody owns the process.
C00143,R00526,what_works,My team is genuinely welcoming and people look out for each other.
C00144,R00527,what_to_change,Recognition stops at my manager and never travels further up. I am already looking at other options.
C00145,R00528,what_to_change,"Honestly, good work is expected and never mentioned; mistakes are mentioned immediately."
C00146,R00530,what_works,The last town hall actually answered the hard questions honestly.
C00147,R00532,what_to_change,Training budget exists on paper but every request gets postponed. Frankly it is exhausting. Benefits are fine but the base salary is below what I am offered elsewhere.
C00148,R00540,what_to_change,"Honestly, the office rules changed twice this year with no explanation. Nothing has changed since the last survey. I raised the same issue three times and nothing came back."
C00149,R00544,what_to_change,The main issue is that training budget exists on paper but every request gets postponed. It should not be this hard.
C00150,R00544,what_works,My team lead backs us up when things go wrong and that builds trust.
C00151,R00553,what_to_change,My manager cancels our one to ones more often than we hold them. Nothing has changed since the last survey.
C00152,R00555,what_to_change,The main issue is that training budget exists on paper but every request gets postponed. Nothing has changed since the last survey.
C00153,R00559,what_to_change,"Honestly, my manager cancels our one to ones more often than we hold them. This needs fixing this year."
C00154,R00574,what_to_change,I have been in the same grade for four years with no conversation about what comes next. We hear about decisions that affect us from other teams first.
C00155,R00574,what_works,One thing that works: the last town hall actually answered the hard questions honestly. That should be the standard everywhere.
C00156,R00575,what_works,My team is genuinely welcoming and people look out for each other.
C00157,R00581,what_to_change,To be direct: the office rules changed twice this year with no explanation. Otherwise this is a good place to work. The same voices dominate every meeting and the rest of us stop trying.
C00158,R00581,what_works,One thing that works: i can raise a concern here without worrying about how it will be taken. That should be the standard everywhere. My onboarding buddy made the first weeks much easier.
C00159,R00586,what_to_change,There is no visible route from my role to the next one. It is the one thing I would change.
C00160,R00586,what_works,One thing that works: the last town hall actually answered the hard questions honestly. Please keep it.
C00161,R00596,what_to_change,The main issue is that my first month was three days of induction and then nothing.
C00162,R00596,what_works,One thing that works: i can raise a concern here without worrying about how it will be taken.
C00163,R00601,what_to_change,"I did not have a laptop for my first week, which set the tone. The rest of my experience here is positive."
C00164,R00601,what_works,One thing that works: my team lead backs us up when things go wrong and that builds trust. Please keep it. My onboarding buddy made the first weeks much easier.
C00165,R00602,what_to_change,To be direct: we are permanently short-staffed and the overtime has stopped feeling optional.
C00166,R00608,what_to_change,"Two people left my team last year and neither was replaced, so the work just moved to us."
C00167,R00608,what_works,My team is genuinely welcoming and people look out for each other.
C00168,R00609,what_to_change,Getting access to a tool takes weeks and nobody owns the process. This needs fixing this year.
C00169,R00609,what_works,My manager makes a point of recognising good work publicly. My team is genuinely welcoming and people look out for each other.
C00170,R00629,what_to_change,Recognition stops at my manager and never travels further up. It is the one thing I would change.
C00171,R00632,what_to_change,The main issue is that i have been in the same grade for four years with no conversation about what comes next. It is the one thing I would change.
C00172,R00635,what_to_change,"Honestly, leadership talks about transparency and then reorganises without warning."
C00173,R00635,what_works,I can raise a concern here without worrying about how it will be taken. That should be the standard everywhere.
C00174,R00637,what_to_change,The main issue is that shift patterns get published too late to plan anything around them.
C00175,R00637,what_works,"Genuinely, i always know where I stand with my manager, which I value."
C00176,R00639,what_to_change,"Honestly, i answer messages at 10pm because there is no other way to keep up. It is the one thing I would change."
